-70,60
150,-60
60,180
70,90
-90,20
80,-200
-230,160
-70,130
50,-40
-110,140
100,-200
100,170
-160,30
200,-180
-120,50
200,-20
190,-40
50,70
-150,190
-230,160
-190,100
220,0
-40,70
-190,-100
-200,-190
-20,-170
-130,-10
90,110
90,-140
-160,140
-190,-40
-200,50
90,60
20,110
-110,160
150,-190
110,-30
-160,-60
60,80
90,-70
10,-180
-10,130
190,140
100,-120
-40,100
50,-140
-40,-200
-240,0
60,-30
150,60
-130,0
-210,-180
200,60
100,0
140,-150
40,80
-200,-170
150,120
0,-110
-190,80
-60,30
-120,120
-210,-30
-190,110
170,-150
-190,30
-120,-160
-220,50
170,60
-90,-170
20,140
210,-50
150,-40
-40,0
90,-10
20,-30
50,-10
-140,-130
150,100
210,-50
-70,90
170,0
-70,-200
-190,10
-160,190
90,-50
-120,-10
-70,-100
160,-60
50,-70
0,80
-100,180
-200,70
180,-140
-180,30
80,90
-10,50
120,-80
110,120
-130,190
